2004,21,38920.62,
2005,16,324850,
2009,15,4459232.47,
2010,15,6258339.79,
2010,21,136323534.2,
2011,13,724701,
2011,15,13106256.69,
2011,24,81927.02,
2011,28,4219012.39,
2011,30,24324609.55,
2012,13,16406773.46,
2012,15,3782583.25,
2012,16,13825851.8,
2012,20,2746563.9,
2012,21,2959318.85,
2012,28,2027734.95,
2012,30,257799674.4,
2013,3,8105202.77,
2013,5,0,
2013,8,8760450.56,
2013,11,12085035.8,
2013,12,6550035.01,
2013,13,39864762.54,
2013,15,22709286.86,
2013,16,60939682.93,
2013,17,23610373.27,
2013,20,703499.97,
2013,21,74613175.73,
2013,23,103197747.79,
2013,24,147695995.61,
2013,28,30929776.86,
2013,30,219221447.8,679980
2014,1,27820073.78,
2014,2,1869193.26,
2014,3,248411663.86,
2014,5,818456.28,
2014,6,8094559.12,
2014,7,3119523.83,
2014,8,119671213.53,
2014,11,122701891.39,
2014,12,527210,
2014,13,199799546.03,78885
2014,14,5877697.42,
2014,15,88327048.91,78885
2014,16,33634274.63,
2014,17,27723811.77,
2014,19,12848236.06,
2014,20,13148677.91,
2014,21,1648994241.82,
2014,22,13643485.86,
2014,23,29876628.01,
2014,24,224644176.61,
2014,28,305686789.01,
2014,29,61526.4,
2014,30,778197341.48,78885
2014,31,22529497.98,
2015,1,127755342.91,
2015,2,62674074.31,
2015,3,878527796.38,
2015,4,41175491.53,
2015,5,81871116.12,
2015,6,10511772.69,
2015,7,146814428.24,
2015,8,687258027.12,803024
2015,9,1110000,78885
2015,10,27896017.79,
2015,11,678171102.19,78885
2015,12,161726766.49,1932230
2015,13,1119471062.76,394425
2015,14,143054792,
2015,15,409753806.56,473310
2015,16,405072842.42,1839726
2015,17,80919609.23,
2015,18,324114773.93,
2015,19,94323655.96,
2015,20,288116104.43,157770
2015,21,1187599497.66,
2015,22,184419744.6,
2015,23,365228139.97,
2015,24,364184709.47,
2015,25,8629011.73,
2015,26,792920.97,
2015,27,42230836.51,
2015,28,923742915.74,78885
2015,29,124313519.87,
2015,30,502298848.16,
2015,31,277160768.49,
2015,32,132902775.44,
2016,1,1368093224.73,
2016,2,200151378.23,448224
2016,3,712811448.98,
2016,4,383596569.62,
2016,5,459154847.08,
2016,6,320078987.51,
2016,7,3256557607.01,425093
2016,8,1473237989.23,
2016,9,226105493.97,78885
2016,10,422787568.22,631080
2016,11,1267082351.47,89494800
2016,12,2094705677.15,57966900
